customer_id,age,gender,annual_income,tenure_months,contract_type,preferred_payment,support_tickets,monthly_spend,satisfaction_score,churn
CUST_1072,50,Female,54700.0,63,Month-to-Month,Credit Card,2,80.11,3.4,0
CUST_1073,63,Female,77000.0,27,Month-to-Month,Electronic Check,3,130.65,1.5,1
CUST_1074,38,Male,61800.0,20,Month-to-Month,Credit Card,0,44.75,2.9,0
CUST_1075,41,Male,69700.0,71,Month-to-Month,Electronic Check,1,72.63,1.9,0
CUST_1076,38,Male,66700.0,63,Month-to-Month,Credit Card,1,85.27,1.8,0
CUST_1077,41,Female,85900.0,38,One-Year,Credit Card,4,103.54,1.4,1
CUST_1078,57,Male,18300.0,18,One-Year,Electronic Check,5,108.62,1.3,1
CUST_1079,48,Female,50800.0,68,Month-to-Month,Credit Card,0,45.71,3.0,0
CUST_1080,29,Female,79500.0,30,Month-to-Month,Credit Card,1,114.28,1.4,0
CUST_1081,42,Female,39900.0,33,Month-to-Month,Bank Transfer,3,86.29,4.2,0
CUST_1082,41,Female,101700.0,40,Month-to-Month,Electronic Check,5,91.82,1.5,1
CUST_1083,31,Male,57900.0,51,Month-to-Month,Credit Card,0,147.2,2.4,0
CUST_1084,55,Female,33500.0,14,Month-to-Month,Credit Card,3,27.1,3.8,0
CUST_1085,55,Male,113000.0,20,Month-to-Month,Bank Transfer,2,36.56,2.1,0
CUST_1086,59,Male,56800.0,35,Month-to-Month,Credit Card,1,92.51,1.9,0
CUST_1087,54,Male,63000.0,50,Two-Year,Credit Card,1,88.94,3.7,0
CUST_1088,57,Male,61600.0,53,Month-to-Month,Credit Card,2,22.03,3.7,0
CUST_1089,28,Male,57100.0,20,Two-Year,Electronic Check,4,136.21,2.5,0
CUST_1090,26,Male,88200.0,2,Month-to-Month,Electronic Check,3,85.25,3.3,0
CUST_1091,33,Male,48300.0,5,One-Year,Electronic Check,2,99.96,4.5,0
CUST_1092,20,Male,49000.0,38,Month-to-Month,Electronic Check,2,83.97,2.5,0
CUST_1093,42,Male,,64,Month-to-Month,Bank Transfer,4,29.35,3.0,0
CUST_1094,40,Female,49800.0,56,Month-to-Month,Bank Transfer,1,100.64,1.8,0
CUST_1095,21,Female,78100.0,3,Month-to-Month,Bank Transfer,4,142.17,1.8,1
CUST_1096,42,Female,35700.0,2,One-Year,Bank Transfer,1,33.02,2.3,0
CUST_1097,35,Male,84400.0,54,Two-Year,Credit Card,2,118.91,1.3,0
CUST_1098,38,Male,55200.0,66,One-Year,Credit Card,1,41.97,1.9,0
CUST_1099,44,Male,67200.0,43,One-Year,Bank Transfer,5,71.21,2.0,0
CUST_1100,53,Female,90900.0,62,Month-to-Month,Bank Transfer,3,101.9,4.4,0
CUST_1101,31,Male,75600.0,32,Two-Year,Credit Card,1,146.52,3.3,0
CUST_1102,55,Female,70400.0,3,Month-to-Month,Credit Card,1,114.73,1.3,0
CUST_1103,42,Female,88900.0,40,One-Year,Electronic Check,3,38.64,4.2,0
CUST_1104,26,Female,56500.0,47,Month-to-Month,Bank Transfer,1,72.48,3.9,0
CUST_1105,37,Male,76000.0,54,Month-to-Month,Bank Transfer,1,123.63,4.2,0
CUST_1106,62,Female,66000.0,16,Month-to-Month,Credit Card,2,83.93,1.6,0
CUST_1107,31,Male,90400.0,54,One-Year,Electronic Check,3,103.95,3.3,0
CUST_1108,35,Male,83600.0,20,One-Year,Electronic Check,2,93.44,1.8,0
CUST_1109,24,Female,37500.0,36,Month-to-Month,Credit Card,3,106.66,4.6,0
CUST_1110,65,Female,78100.0,41,Month-to-Month,Credit Card,2,106.91,1.3,0
CUST_1111,35,Male,43300.0,48,Month-to-Month,Bank Transfer,4,29.98,3.7,0
CUST_1112,65,Male,46200.0,36,Month-to-Month,Credit Card,1,118.84,4.1,0
CUST_1113,57,Female,85300.0,46,Month-to-Month,Bank Transfer,1,123.01,2.0,0
CUST_1114,21,Female,86800.0,55,One-Year,Credit Card,2,42.42,3.3,0
CUST_1115,22,Male,97100.0,3,One-Year,Bank Transfer,2,22.05,2.1,0
CUST_1116,63,Female,101500.0,40,Two-Year,Bank Transfer,3,40.32,1.2,0
CUST_1117,21,Female,76000.0,66,One-Year,Credit Card,2,112.98,1.7,0
CUST_1118,59,Male,57200.0,23,Month-to-Month,Bank Transfer,1,90.41,2.8,0
CUST_1119,41,Female,45600.0,2,Month-to-Month,Electronic Check,1,105.78,2.7,0
CUST_1120,44,Male,67200.0,40,Month-to-Month,Bank Transfer,2,63.15,2.1,0
CUST_1121,57,Male,101800.0,2,Month-to-Month,Credit Card,4,99.28,1.4,1
CUST_1122,23,Female,71800.0,38,Month-to-Month,Electronic Check,4,136.21,2.0,0
CUST_1123,43,Male,43200.0,51,One-Year,Credit Card,1,109.11,3.4,0
CUST_1124,53,Female,81200.0,25,Month-to-Month,Credit Card,3,101.99,3.1,0
CUST_1125,51,Female,66000.0,40,Month-to-Month,Electronic Check,2,99.96,2.1,0
CUST_1126,58,Female,,10,Month-to-Month,Electronic Check,5,108.62,1.2,1
CUST_1127,51,Female,30900.0,68,Month-to-Month,Bank Transfer,3,76.59,2.8,0
CUST_1128,49,Male,73200.0,30,Two-Year,Credit Card,0,45.71,4.4,0
CUST_1129,54,Male,70400.0,68,Month-to-Month,Credit Card,2,102.34,3.0,0
CUST_1130,59,Female,83100.0,1,Month-to-Month,Electronic Check,4,103.54,1.1,1
CUST_1131,34,Male,61800.0,62,Month-to-Month,Bank Transfer,2,112.2,2.0,0
CUST_1132,49,Male,50800.0,27,One-Year,Electronic Check,3,108.62,2.8,0
CUST_1133,39,Male,57900.0,63,Month-to-Month,Credit Card,1,114.28,1.8,0
CUST_1134,22,Female,33500.0,18,One-Year,Bank Transfer,2,108.77,2.1,0
CUST_1135,43,Male,85900.0,35,Month-to-Month,Bank Transfer,0,131.62,4.8,0
CUST_1136,54,Female,69700.0,53,Month-to-Month,Electronic Check,3,131.78,1.4,0
CUST_1137,30,Female,18300.0,20,Month-to-Month,Credit Card,4,93.42,1.3,1
CUST_1138,59,Male,66700.0,40,Two-Year,Credit Card,1,114.73,3.7,0
CUST_1139,41,Female,39900.0,69,Two-Year,Bank Transfer,3,40.32,4.2,0
CUST_1140,57,Male,101700.0,46,Month-to-Month,Credit Card,2,112.98,1.5,0
CUST_1141,48,Female,113000.0,63,Month-to-Month,Bank Transfer,3,90.41,2.8,0
CUST_1142,29,Female,56800.0,27,Month-to-Month,Electronic Check,1,105.78,1.9,0
CUST_1143,42,Male,63000.0,20,Month-to-Month,Credit Card,2,63.15,4.2,0
CUST_1144,31,Male,61600.0,71,Month-to-Month,Credit Card,4,99.28,1.5,0
CUST_1145,55,Male,57100.0,38,One-Year,Electronic Check,4,136.21,2.4,1
CUST_1146,55,Female,88200.0,18,One-Year,Credit Card,1,109.11,3.8,0
CUST_1147,59,Male,48300.0,68,Month-to-Month,Bank Transfer,3,101.99,2.1,0
CUST_1148,57,Male,49000.0,30,Month-to-Month,Credit Card,2,99.96,1.9,0
CUST_1149,28,Male,49800.0,40,Month-to-Month,Electronic Check,5,108.62,3.7,1
CUST_1150,26,Male,78100.0,10,Month-to-Month,Bank Transfer,3,76.59,3.7,0
CUST_1151,33,Male,35700.0,68,Month-to-Month,Credit Card,0,45.71,2.5,0
CUST_1152,20,Male,84400.0,27,One-Year,Credit Card,2,102.34,3.3,0
CUST_1153,42,Male,55200.0,63,Month-to-Month,Electronic Check,4,103.54,2.5,1
CUST_1154,40,Female,67200.0,18,One-Year,Bank Transfer,2,112.2,3.0,0
CUST_1155,21,Female,90900.0,35,Month-to-Month,Electronic Check,3,108.62,1.8,0
CUST_1156,42,Female,75600.0,53,Month-to-Month,Credit Card,1,114.28,1.8,0
CUST_1157,35,Male,70400.0,20,Month-to-Month,Bank Transfer,2,108.77,1.3,0
CUST_1158,38,Male,88900.0,40,Two-Year,Credit Card,0,131.62,2.0,0
CUST_1159,44,Male,56500.0,69,Two-Year,Bank Transfer,3,131.78,1.8,0
CUST_1160,53,Female,76000.0,46,Month-to-Month,Electronic Check,4,93.42,4.2,0
CUST_1161,31,Male,66000.0,63,Month-to-Month,Credit Card,1,114.73,1.3,0
CUST_1162,55,Female,90400.0,27,Month-to-Month,Bank Transfer,3,40.32,2.8,0
CUST_1163,42,Female,83600.0,20,Month-to-Month,Electronic Check,2,112.98,1.5,0
CUST_1164,26,Female,37500.0,71,Month-to-Month,Credit Card,3,90.41,2.8,0
CUST_1165,37,Male,78100.0,63,Month-to-Month,Bank Transfer,1,105.78,1.9,0
CUST_1166,62,Female,43300.0,38,One-Year,Credit Card,2,63.15,4.2,0
CUST_1167,31,Male,46200.0,18,One-Year,Credit Card,4,99.28,1.5,0
CUST_1168,35,Male,85300.0,68,Month-to-Month,Electronic Check,4,136.21,2.4,1
CUST_1169,24,Female,86800.0,30,Month-to-Month,Credit Card,1,109.11,3.8,0
CUST_1170,65,Female,97100.0,40,Month-to-Month,Bank Transfer,3,101.99,2.1,0
CUST_1171,35,Male,101500.0,10,Month-to-Month,Credit Card,2,99.96,1.9,0
CUST_1172,65,Male,76000.0,68,Month-to-Month,Electronic Check,5,108.62,3.7,1
CUST_1173,57,Female,57200.0,27,One-Year,Bank Transfer,3,76.59,3.7,0
CUST_1174,21,Female,45600.0,63,Month-to-Month,Credit Card,0,45.71,2.5,0
CUST_1175,22,Male,67200.0,18,One-Year,Credit Card,2,102.34,3.3,0
CUST_1176,63,Female,101800.0,35,Month-to-Month,Electronic Check,4,103.54,2.5,1
CUST_1177,21,Female,71800.0,53,Month-to-Month,Bank Transfer,2,112.2,3.0,0
CUST_1178,59,Male,43200.0,20,Month-to-Month,Electronic Check,3,108.62,1.8,0
CUST_1179,41,Female,81200.0,40,Two-Year,Credit Card,1,114.28,1.8,0
CUST_1180,44,Male,66000.0,69,Two-Year,Bank Transfer,2,108.77,1.3,0
CUST_1181,57,Male,,46,Month-to-Month,Electronic Check,0,131.62,2.0,0
CUST_1182,23,Female,30900.0,63,Month-to-Month,Credit Card,3,131.78,1.8,0
CUST_1183,43,Male,73200.0,27,Month-to-Month,Bank Transfer,4,93.42,4.2,0
CUST_1184,53,Female,70400.0,20,Month-to-Month,Electronic Check,1,114.73,1.3,0
CUST_1185,51,Female,83100.0,71,Month-to-Month,Credit Card,3,40.32,2.8,0
CUST_1186,58,Female,61800.0,63,Month-to-Month,Bank Transfer,2,112.98,1.5,0
CUST_1187,51,Female,50800.0,38,One-Year,Credit Card,3,90.41,2.8,0
CUST_1188,49,Male,57900.0,18,One-Year,Credit Card,1,105.78,1.9,0
CUST_1189,54,Male,33500.0,68,Month-to-Month,Electronic Check,2,63.15,4.2,0
CUST_1190,59,Female,85900.0,30,Month-to-Month,Credit Card,4,99.28,1.5,0
CUST_1191,34,Male,69700.0,40,Month-to-Month,Bank Transfer,4,136.21,2.4,1
CUST_1192,49,Male,18300.0,10,Month-to-Month,Credit Card,1,109.11,3.8,0
CUST_1193,39,Male,66700.0,68,Month-to-Month,Electronic Check,3,101.99,2.1,0
CUST_1194,22,Female,39900.0,27,One-Year,Bank Transfer,2,99.96,1.9,0
CUST_1195,43,Male,101700.0,63,Month-to-Month,Credit Card,5,108.62,3.7,1
CUST_1196,54,Female,113000.0,18,One-Year,Credit Card,3,76.59,3.7,0
CUST_1197,30,Female,56800.0,35,Month-to-Month,Electronic Check,0,45.71,2.5,0
CUST_1198,59,Male,63000.0,53,Month-to-Month,Bank Transfer,2,102.34,3.3,0
CUST_1199,41,Female,61600.0,20,Month-to-Month,Electronic Check,4,103.54,2.5,1
CUST_1200,57,Male,57100.0,40,Two-Year,Credit Card,2,112.2,3.0,0
CUST_1201,48,Female,88200.0,69,Two-Year,Bank Transfer,3,108.62,1.8,0
CUST_1202,29,Female,48300.0,46,Month-to-Month,Electronic Check,1,114.28,1.8,0
CUST_1203,42,Male,49000.0,63,Month-to-Month,Credit Card,2,108.77,1.3,0
CUST_1204,31,Male,49800.0,27,Month-to-Month,Bank Transfer,0,131.62,2.0,0
CUST_1205,55,Male,78100.0,20,Month-to-Month,Electronic Check,3,131.78,1.8,0
CUST_1206,55,Female,35700.0,71,Month-to-Month,Credit Card,4,93.42,4.2,0
CUST_1207,59,Male,84400.0,63,Month-to-Month,Bank Transfer,1,114.73,1.3,0
CUST_1208,57,Male,55200.0,38,One-Year,Credit Card,3,40.32,2.8,0
CUST_1209,28,Male,67200.0,18,One-Year,Credit Card,2,112.98,1.5,0
CUST_1210,26,Male,90900.0,68,Month-to-Month,Electronic Check,3,90.41,2.8,0
CUST_1211,33,Male,75600.0,30,Month-to-Month,Credit Card,1,105.78,1.9,0
CUST_1212,20,Male,70400.0,40,Month-to-Month,Bank Transfer,2,63.15,4.2,0
CUST_1213,42,Male,88900.0,10,Month-to-Month,Credit Card,4,99.28,1.5,0
CUST_1214,40,Female,56500.0,68,Month-to-Month,Electronic Check,4,136.21,2.4,1
CUST_1215,21,Female,76000.0,27,One-Year,Bank Transfer,1,109.11,3.8,0
CUST_1216,42,Female,66000.0,63,Month-to-Month,Credit Card,3,101.99,2.1,0
CUST_1217,35,Male,90400.0,18,One-Year,Credit Card,2,99.96,1.9,0
CUST_1218,38,Male,83600.0,35,Month-to-Month,Electronic Check,5,108.62,3.7,1
CUST_1219,44,Male,37500.0,53,Month-to-Month,Bank Transfer,3,76.59,3.7,0
CUST_1220,53,Female,78100.0,20,Month-to-Month,Credit Card,0,45.71,2.5,0
CUST_1221,31,Male,43300.0,40,Two-Year,Credit Card,2,102.34,3.3,0
CUST_1222,55,Female,46200.0,69,Two-Year,Bank Transfer,4,103.54,2.5,1
CUST_1223,42,Female,85300.0,46,Month-to-Month,Electronic Check,2,112.2,3.0,0
CUST_1224,26,Female,86800.0,63,Month-to-Month,Credit Card,3,108.62,1.8,0
CUST_1225,37,Male,97100.0,27,Month-to-Month,Bank Transfer,1,114.28,1.8,0
CUST_1226,62,Female,101500.0,20,Month-to-Month,Electronic Check,2,108.77,1.3,0
CUST_1227,31,Male,76000.0,71,Month-to-Month,Credit Card,0,131.62,2.0,0
CUST_1228,35,Male,57200.0,63,Month-to-Month,Bank Transfer,3,131.78,1.8,0
CUST_1229,24,Female,45600.0,38,One-Year,Credit Card,4,93.42,4.2,0
CUST_1230,65,Female,67200.0,18,One-Year,Credit Card,1,114.73,1.3,0
CUST_1231,35,Male,101800.0,68,Month-to-Month,Electronic Check,3,40.32,2.8,0
CUST_1232,65,Male,71800.0,30,Month-to-Month,Credit Card,2,112.98,1.5,0
CUST_1233,57,Female,43200.0,40,Month-to-Month,Bank Transfer,3,90.41,2.8,0
CUST_1234,21,Female,81200.0,10,Month-to-Month,Credit Card,1,105.78,1.9,0
CUST_1235,22,Male,66000.0,68,Month-to-Month,Electronic Check,2,63.15,4.2,0
CUST_1236,63,Female,,27,One-Year,Bank Transfer,4,99.28,1.5,0
CUST_1237,21,Female,30900.0,63,Month-to-Month,Credit Card,4,136.21,2.4,1
CUST_1238,59,Male,73200.0,18,One-Year,Credit Card,1,109.11,3.8,0
CUST_1239,41,Female,70400.0,35,Month-to-Month,Electronic Check,3,101.99,2.1,0
CUST_1240,44,Male,83100.0,53,Month-to-Month,Bank Transfer,2,99.96,1.9,0
CUST_1241,57,Male,61800.0,20,Month-to-Month,Credit Card,5,108.62,3.7,1
CUST_1242,23,Female,50800.0,40,Two-Year,Credit Card,3,76.59,3.7,0
CUST_1243,43,Male,57900.0,69,Two-Year,Bank Transfer,0,45.71,2.5,0
CUST_1244,53,Female,33500.0,46,Month-to-Month,Electronic Check,2,102.34,3.3,0
CUST_1245,51,Female,85900.0,63,Month-to-Month,Credit Card,4,103.54,2.5,1
CUST_1246,58,Female,69700.0,27,Month-to-Month,Bank Transfer,2,112.2,3.0,0
CUST_1247,51,Female,18300.0,20,Month-to-Month,Electronic Check,3,108.62,1.8,0
CUST_1248,49,Male,66700.0,71,Month-to-Month,Credit Card,1,114.28,1.8,0
CUST_1249,54,Male,39900.0,63,Month-to-Month,Bank Transfer,2,108.77,1.3,0
CUST_1250,59,Female,101700.0,38,One-Year,Credit Card,0,131.62,2.0,0
CUST_1251,34,Male,113000.0,18,One-Year,Credit Card,3,131.78,1.8,0
CUST_1252,49,Male,56800.0,68,Month-to-Month,Electronic Check,4,93.42,4.2,0
CUST_1253,39,Male,63000.0,30,Month-to-Month,Credit Card,1,114.73,1.3,0
CUST_1254,22,Female,61600.0,40,Month-to-Month,Bank Transfer,3,40.32,2.8,0
CUST_1255,43,Male,57100.0,10,Month-to-Month,Credit Card,2,112.98,1.5,0
CUST_1256,54,Female,88200.0,68,Month-to-Month,Electronic Check,3,90.41,2.8,0
CUST_1257,30,Female,48300.0,27,One-Year,Bank Transfer,1,105.78,1.9,0
CUST_1258,59,Male,49000.0,63,Month-to-Month,Credit Card,2,63.15,4.2,0
CUST_1259,41,Female,49800.0,18,One-Year,Credit Card,4,99.28,1.5,0
CUST_1260,57,Male,78100.0,35,Month-to-Month,Electronic Check,4,136.21,2.4,1
CUST_1261,48,Female,35700.0,53,Month-to-Month,Bank Transfer,1,109.11,3.8,0
CUST_1262,29,Female,84400.0,20,Month-to-Month,Credit Card,3,101.99,2.1,0
CUST_1263,42,Male,55200.0,40,Two-Year,Credit Card,2,99.96,1.9,0
CUST_1264,31,Male,67200.0,69,Two-Year,Bank Transfer,5,108.62,3.7,1
CUST_1265,55,Male,90900.0,46,Month-to-Month,Electronic Check,3,76.59,3.7,0
CUST_1266,55,Female,75600.0,63,Month-to-Month,Credit Card,0,45.71,2.5,0
CUST_1267,59,Male,70400.0,27,Month-to-Month,Bank Transfer,2,102.34,3.3,0
CUST_1268,57,Male,88900.0,20,Month-to-Month,Electronic Check,4,103.54,2.5,1
CUST_1269,28,Male,56500.0,71,Month-to-Month,Credit Card,2,112.2,3.0,0
CUST_1270,26,Male,76000.0,63,Month-to-Month,Bank Transfer,3,108.62,1.8,0
CUST_1271,33,Male,66000.0,38,One-Year,Credit Card,1,114.28,1.8,0
CUST_1272,20,Male,90400.0,18,One-Year,Credit Card,2,108.77,1.3,0
CUST_1273,42,Male,83600.0,68,Month-to-Month,Electronic Check,0,131.62,2.0,0
CUST_1274,40,Female,37500.0,30,Month-to-Month,Credit Card,3,131.78,1.8,0
CUST_1275,21,Female,78100.0,40,Month-to-Month,Bank Transfer,4,93.42,4.2,0
CUST_1276,42,Female,43300.0,10,Month-to-Month,Credit Card,1,114.73,1.3,0
CUST_1277,35,Male,46200.0,68,Month-to-Month,Electronic Check,3,40.32,2.8,0
CUST_1278,38,Male,85300.0,27,One-Year,Bank Transfer,2,112.98,1.5,0
CUST_1279,44,Male,86800.0,63,Month-to-Month,Credit Card,3,90.41,2.8,0
CUST_1280,53,Female,97100.0,18,One-Year,Credit Card,1,105.78,1.9,0
CUST_1281,31,Male,101500.0,35,Month-to-Month,Electronic Check,2,63.15,4.2,0
CUST_1282,55,Female,76000.0,53,Month-to-Month,Bank Transfer,4,99.28,1.5,0
CUST_1283,42,Female,57200.0,20,Month-to-Month,Credit Card,4,136.21,2.4,1
CUST_1284,26,Female,45600.0,40,Two-Year,Credit Card,1,109.11,3.8,0
CUST_1285,37,Male,67200.0,69,Two-Year,Bank Transfer,3,101.99,2.1,0
CUST_1286,62,Female,101800.0,46,Month-to-Month,Electronic Check,2,99.96,1.9,0
CUST_1287,31,Male,71800.0,63,Month-to-Month,Credit Card,5,108.62,3.7,1
CUST_1288,35,Male,43200.0,27,Month-to-Month,Bank Transfer,3,76.59,3.7,0
CUST_1289,24,Female,81200.0,20,Month-to-Month,Electronic Check,0,45.71,2.5,0
CUST_1290,65,Female,66000.0,71,Month-to-Month,Credit Card,2,102.34,3.3,0
CUST_1291,35,Male,,63,Month-to-Month,Bank Transfer,4,103.54,2.5,1
CUST_1292,65,Male,30900.0,38,One-Year,Credit Card,2,112.2,3.0,0
CUST_1293,57,Female,73200.0,18,One-Year,Credit Card,3,108.62,1.8,0
CUST_1294,21,Female,70400.0,68,Month-to-Month,Electronic Check,1,114.28,1.8,0
CUST_1295,22,Male,83100.0,30,Month-to-Month,Credit Card,2,108.77,1.3,0
CUST_1296,63,Female,61800.0,40,Month-to-Month,Bank Transfer,0,131.62,2.0,0
CUST_1297,21,Female,50800.0,10,Month-to-Month,Credit Card,3,131.78,1.8,0
CUST_1298,59,Male,57900.0,68,Month-to-Month,Electronic Check,4,93.42,4.2,0
CUST_1299,41,Female,33500.0,27,One-Year,Bank Transfer,1,114.73,1.3,0
CUST_1300,44,Male,85900.0,63,Month-to-Month,Credit Card,3,40.32,2.8,0
CUST_1301,57,Male,69700.0,18,One-Year,Credit Card,2,112.98,1.5,0
CUST_1302,23,Female,18300.0,35,Month-to-Month,Electronic Check,3,90.41,2.8,0
CUST_1303,43,Male,66700.0,53,Month-to-Month,Bank Transfer,1,105.78,1.9,0
CUST_1304,53,Female,39900.0,20,Month-to-Month,Credit Card,2,63.15,4.2,0
CUST_1305,51,Female,101700.0,40,Two-Year,Credit Card,4,99.28,1.5,0
CUST_1306,58,Female,113000.0,69,Two-Year,Bank Transfer,4,136.21,2.4,1
CUST_1307,51,Female,56800.0,46,Month-to-Month,Electronic Check,1,109.11,3.8,0
CUST_1308,49,Male,63000.0,63,Month-to-Month,Credit Card,3,101.99,2.1,0
